E,PS Rate,Closure Time,Net Force,Velocity,<F/V>
1,0,75.6,-2.219858895,0.003185577,-912.2224154
1,0,100.8,-1.914413202,0.002304856,-1467.41997
1,0,92.4,-2.387729663,0.002424087,-1682.950683
1,0,93.6,-1.938437765,0.002520785,-1800.519118
1,0,85.2,-1.934038975,0.002751559,648.5676064
2,0,73.2,-5.676095711,0.003114369,-2524.520504
2,0,73.2,-6.475113966,0.003225606,-2509.033642
2,0,78,-7.059896104,0.002942353,-3009.051118
2,0,88.8,-5.96306448,0.002658578,804009.0497
2,0,76.8,-6.855502469,0.003021524,-2443.213708
4,0,81.6,-17.49286148,0.002751873,-7601.993869
4,0,67.2,-16.00765262,0.003455738,-6005.227437
4,0,73.2,-15.56882696,0.003090456,-5596.532166
4,0,85.2,-12.89240292,0.002614246,-4250.60445
4,0,82.8,-12.66420107,0.002825059,-7328.999337
8,0,81.6,-32.15567387,0.002800732,-12087.02281
8,0,75.6,-33.74000326,0.003060134,-11877.00276
8,0,88.8,-30.98825401,0.002581407,-19506.85154
8,0,88.8,-24.25467611,0.002631848,1324.110051
8,0,79.2,-28.8981182,0.002947623,-12754.07223
16,0,82.8,-63.84312554,0.002848364,-34917.13144
16,0,78,-69.20333103,0.002984145,-29868.86756
16,0,75.6,-52.55645984,0.003037718,-9976.073084
16,0,80.4,-74.46400174,0.002873758,-39786.50191
16,0,69.6,-60.9493274,0.003406501,-25050.90614
1,4,57.6,0.605167251,0.004156211,90.11395039
1,4,61.2,1.132538059,0.003817237,244.5964814
1,4,56.4,0.910129246,0.004040957,198.4968614
1,4,61.2,0.965329173,0.003818068,233.3808576
1,4,58.8,2.817915406,0.003910985,752.9345339
2,4,75.6,6.024082572,0.002944301,2544.54317
2,4,69.6,5.236987091,0.003345112,1502.340636
2,4,58.8,2.323937713,0.003970232,519.8936642
2,4,60,4.618690059,0.003698937,1193.723032
2,4,54,1.495394353,0.004216989,171.9498698
4,4,58.8,13.74845853,0.003838039,3511.764976
4,4,62.4,4.2105187,0.003619012,1252.048875
4,4,63.6,7.991045736,0.003455983,2054.55048
4,4,62.4,7.357858153,0.003851435,1737.090385
4,4,54,9.234478407,0.004432792,1856.611472
8,4,61.2,23.84482256,0.003845488,5868.180816
8,4,54,36.65432274,0.004347662,8683.235834
8,4,64.8,33.37398182,0.003619877,9633.78685
8,4,46.8,21.04715014,0.004895275,2167.101169
8,4,64.8,43.73223605,0.003639766,13310.90902
16,4,62.4,80.93506467,0.00373781,24277.84792
16,4,62.4,76.98222502,0.003658752,25285.77933
16,4,61.2,48.40560568,0.003799842,13836.4488
16,4,52.8,61.47315268,0.004384598,12807.41055
16,4,55.2,70.27388992,0.004193145,17357.5603
1,1000,91.2,3.316067861,0.002577385,1566.49133
1,1000,86.4,2.776313919,0.002665124,1189.694779
1,1000,94.8,2.821257815,0.00240348,1390.97903
1,1000,94.8,2.922815018,0.002413468,1442.194622
1,1000,88.8,2.774146285,0.002577652,1300.222255
2,1000,87.6,6.913300148,0.002656537,2955.707233
2,1000,103.2,6.323862406,0.002115233,3296.405312
2,1000,96,7.585110612,0.002422581,3578.621275
2,1000,91.2,6.224681697,0.002514758,2894.849412
2,1000,98.4,7.385669342,0.002372504,3592.144099
4,1000,96,15.46401582,0.00249114,7924.087791
4,1000,102,15.22679711,0.002273491,8016.428529
4,1000,104.4,15.741935,0.002225906,7693.769623
4,1000,97.2,15.02216017,0.002337425,7459.675764
4,1000,100.8,19.98303629,0.002214954,10419.88567
8,1000,114,27.71515167,0.002015552,18356.96882
8,1000,96,36.02585721,0.002416165,18579.56831
8,1000,99.6,38.2061707,0.002231639,20324.79975
8,1000,100.8,36.23280181,0.002321341,19634.37723
8,1000,98.4,37.71285722,0.002348776,18894.54039
16,1000,103.2,74.79858783,0.00222289,42098.71847
16,1000,104.4,85.99943245,0.002232335,48930.36201
16,1000,92.4,101.5868242,0.002567991,45462.2661
16,1000,104.4,65.66794967,0.0021552,36430.66855
16,1000,97.2,76.82580069,0.002362948,41040.82396
