E,PS Rate,Seed,Closure Time,Traction,Strain
1,0,1,72,0.205537235,0.0081778
1,1,1,66,0.181244334,0.007523448
1,2,1,60,0.18155484,0.007533192
1,4,1,57.6,0.187352151,0.008153248
1,8,1,63.6,0.175590035,0.006932851
1,16,1,79.2,0.161073675,0.005492634
1,1000,1,91.2,0.153860418,0.005212048
2,0,1,73.2,0.202746533,0.006766877
2,1,1,56.4,0.221038903,0.007369788
2,2,1,58.8,0.220480343,0.007648731
2,4,1,75.6,0.203462788,0.005958865
2,8,1,81.6,0.197755209,0.005795973
2,16,1,81.6,0.192128967,0.005608419
2,1000,1,87.6,0.184726239,0.005026421
4,0,1,81.6,0.230488101,0.006322367
4,1,1,64.8,0.236556041,0.005455434
4,2,1,56.4,0.247285566,0.006141696
4,4,1,58.8,0.25230299,0.006618052
4,8,1,86.4,0.21282716,0.004815965
4,16,1,92.4,0.199258139,0.003863917
4,1000,1,96,0.200532412,0.00441034
8,0,1,81.6,0.247852066,0.004437614
8,1,1,63.6,0.265968522,0.004871787
8,2,1,58.8,0.290226097,0.006497606
8,4,1,61.2,0.277634859,0.005699543
8,8,1,64.8,0.256037214,0.005034735
8,16,1,80.4,0.233897873,0.004104981
8,1000,1,114,0.207387589,0.003188616
16,0,1,82.8,0.264457003,0.003143042
16,1,1,55.2,0.301896168,0.004503571
16,2,1,58.8,0.30507649,0.004584755
16,4,1,62.4,0.286659586,0.004139171
16,8,1,87.6,0.246392556,0.002977294
16,16,1,104.4,0.230770576,0.002688392
16,1000,1,103.2,0.217496095,0.00246433
1,0,2,85.2,0.207470137,0.008306383
1,1,2,58.8,0.184678749,0.0082164
1,2,2,49.2,0.189869012,0.007889302
1,4,2,61.2,0.178871785,0.007710008
1,8,2,61.2,0.175882966,0.006374241
1,16,2,76.8,0.160964883,0.005461722
1,1000,2,86.4,0.160982262,0.005577343
2,0,2,73.2,0.213165622,0.008285614
2,1,2,61.2,0.226302825,0.008406569
2,2,2,54,0.216175387,0.00699633
2,4,2,69.6,0.206016111,0.006407727
2,8,2,76.8,0.199620852,0.006033298
2,16,2,90,0.183720021,0.004990096
2,1000,2,103.2,0.179047467,0.004825753
4,0,2,67.2,0.245736866,0.006490747
4,1,2,64.8,0.242727473,0.006042189
4,2,2,61.2,0.244921469,0.006435214
4,4,2,62.4,0.239086423,0.005887165
4,8,2,86.4,0.21630276,0.005290097
4,16,2,75.6,0.224851262,0.005388397
4,1000,2,102,0.197669437,0.004389775
8,0,2,75.6,0.256405606,0.004828507
8,1,2,78,0.264830867,0.005315403
8,2,2,67.2,0.274491384,0.005793535
8,4,2,54,0.278777669,0.005718714
8,8,2,74.4,0.251814869,0.005269487
8,16,2,85.2,0.232598179,0.004453131
8,1000,2,96,0.222360864,0.004214656
16,0,2,78,0.263189305,0.003058819
16,1,2,73.2,0.283010279,0.004143446
16,2,2,56.4,0.301308011,0.004205942
16,4,2,62.4,0.292133793,0.004392799
16,8,2,82.8,0.250747909,0.00327927
16,16,2,110.4,0.228900235,0.002887899
16,1000,2,104.4,0.224307463,0.002867835
1,0,3,92.4,0.19593728,0.007870991
1,1,3,64.8,0.180428624,0.00752897
1,2,3,50.4,0.194702367,0.007935919
1,4,3,56.4,0.18366735,0.007296662
1,8,3,91.2,0.163844003,0.005914903
1,16,3,79.2,0.170089746,0.006207585
1,1000,3,94.8,0.155405326,0.005390874
2,0,3,78,0.20227906,0.006989648
2,1,3,69.6,0.215846361,0.007077319
2,2,3,56.4,0.23049328,0.007621718
2,4,3,58.8,0.214503525,0.006679951
2,8,3,79.2,0.195226069,0.005976912
2,16,3,86.4,0.190004283,0.005491837
2,1000,3,96,0.177961683,0.004687568
4,0,3,73.2,0.231160956,0.006245505
4,1,3,61.2,0.242730557,0.005777249
4,2,3,58.8,0.256778958,0.007416866
4,4,3,63.6,0.243862486,0.005785898
4,8,3,67.2,0.241027422,0.006134338
4,16,3,91.2,0.208688093,0.004722353
4,1000,3,104.4,0.196001166,0.004090046
8,0,3,88.8,0.236615696,0.004132058
8,1,3,63.6,0.266731806,0.00487223
8,2,3,62.4,0.285446128,0.00639679
8,4,3,64.8,0.267725292,0.005395893
8,8,3,97.2,0.23208277,0.004562401
8,16,3,85.2,0.242104258,0.00470996
8,1000,3,99.6,0.21620845,0.003557985
16,0,3,75.6,0.27340036,0.003614283
16,1,3,66,0.281184654,0.003711741
16,2,3,66,0.290523025,0.004323113
16,4,3,61.2,0.282883884,0.003903585
16,8,3,82.8,0.252403979,0.003211978
16,16,3,88.8,0.240511139,0.003080414
16,1000,3,92.4,0.23991463,0.003525652
1,0,4,97.2,0.196652138,0.007866214
1,1,4,60,0.183836398,0.00858329
1,2,4,63.6,0.17678502,0.00701612
1,4,4,61.2,0.179682666,0.00687292
1,8,4,80.4,0.163134721,0.005969304
1,16,4,72,0.168543848,0.006069997
1,1000,4,94.8,0.154927099,0.005339908
2,0,4,88.8,0.200476412,0.006768362
2,1,4,62.4,0.221021245,0.00744847
2,2,4,58.8,0.218370973,0.007385934
2,4,4,60,0.212371794,0.007009828
2,8,4,70.8,0.202215909,0.006473717
2,16,4,86.4,0.188027259,0.00509467
2,1000,4,91.2,0.17785901,0.004854574
4,0,4,85.2,0.225163719,0.005932613
4,1,4,68.4,0.243055333,0.006444393
4,2,4,58.8,0.250806323,0.006544628
4,4,4,62.4,0.241759766,0.006397723
4,8,4,51.6,0.247601842,0.00603165
4,16,4,91.2,0.207386982,0.004466035
4,1000,4,97.2,0.201037726,0.004633604
8,0,4,88.8,0.243578352,0.004688104
8,1,4,60,0.262201113,0.004646617
8,2,4,61.2,0.26594552,0.004947774
8,4,4,46.8,0.288331417,0.006126691
8,8,4,84,0.235546727,0.004601238
8,16,4,85.2,0.232561464,0.004381749
8,1000,4,100.8,0.224017585,0.004214564
16,0,4,80.4,0.27093975,0.003512955
16,1,4,67.2,0.281466011,0.003471386
16,2,4,61.2,0.298045665,0.004407372
16,4,4,52.8,0.284352045,0.003593555
16,8,4,86.4,0.249517308,0.003265209
16,16,4,86.4,0.246614902,0.003376499
