V0,PS Rate,Seed,Closure Time,Traction,Strain
0.0,0.0,1,78.0,0.1696267237767896,0.004309576314137975
0.0,0.0,2,84.0,0.16041767321338243,0.004053023461153308
0.0,0.0,3,73.2,0.17294656663880464,0.004366109949988689
0.0,0.0,4,80.4,0.16382727707181755,0.004350732651520359
0.0,0.0,5,86.4,0.1613068060211316,0.004225705740343872
0.0,1.0,1,78.0,0.17617480938998695,0.004342234946279024
0.0,1.0,2,70.80000000000001,0.17646791207351145,0.004310490652905877
0.0,1.0,3,74.4,0.179986461135998,0.004511560583811181
0.0,1.0,4,70.80000000000001,0.17941792464571754,0.004781831496035145
0.0,1.0,5,72.0,0.18219102674533375,0.0048490793643587915
0.0,2.0,1,66.0,0.1951963045570677,0.005337454108668346
0.0,2.0,2,61.2,0.19374543581531561,0.00474666877207173
0.0,2.0,3,66.0,0.18131682830010504,0.004274941126157591
0.0,2.0,4,66.0,0.19665565330797444,0.005591859719449033
0.0,2.0,5,61.2,0.19592572262938662,0.004839096785129227
0.0,4.0,1,64.80000000000001,0.1775549384702994,0.004137723505889504
0.0,4.0,2,54.0,0.19024034703518633,0.004230713684256933
0.0,4.0,3,64.80000000000001,0.17855886894473968,0.004132497034428634
0.0,4.0,4,68.4,0.17834465296741436,0.004586796234362115
0.0,4.0,5,63.6,0.1942416579103337,0.005101578904769018
0.0,8.0,1,87.60000000000002,0.1536212772641971,0.003250602471780453
0.0,8.0,2,90.0,0.1542672991552214,0.0038271307793031725
0.0,8.0,3,84.0,0.15625524621245176,0.0031565235905913792
0.0,8.0,4,61.2,0.19080261094056894,0.004963712006685942
0.0,8.0,5,78.0,0.16085557205470594,0.00357633398547356
0.0,16.0,1,96.00000000000001,0.13968616216777363,0.002624617252106912
0.0,16.0,2,93.60000000000001,0.14925119576290954,0.0033533376871116346
0.0,16.0,3,90.0,0.14509562768223816,0.003017346433587956
0.0,16.0,4,82.80000000000001,0.15900453148161778,0.0036832387433135614
0.0,16.0,5,79.2,0.15545186795051139,0.0031757381468797883
0.0,1000.0,1,100.8,0.13495482889179905,0.002663345114541826
0.0,1000.0,2,104.4,0.13200576220415092,0.002689745546400869
0.0,1000.0,3,109.20000000000002,0.1320698635509511,0.0032234054808491465
0.0,1000.0,4,106.80000000000001,0.1333710611737587,0.0030318178883600258
0.0,1000.0,5,100.8,0.13379164386611567,0.0026830052255720806
10.0,0.0,1,80.4,0.23048810115974225,0.006322366976810214
10.0,0.0,2,66.0,0.2457368659491407,0.006490746841294666
10.0,0.0,3,72.0,0.23116095595448571,0.00624550452625442
10.0,0.0,4,84.0,0.22516371878033575,0.005932613336977827
10.0,0.0,5,81.6,0.22437986724390327,0.0054725013600849
10.0,1.0,1,63.6,0.2365560407249891,0.005455434436482674
10.0,1.0,2,63.6,0.2427274734774031,0.006042188843368302
10.0,1.0,3,60.00000000000001,0.2427305568665853,0.005777249398702261
10.0,1.0,4,67.2,0.24305533267301443,0.006444392941095609
10.0,1.0,5,64.80000000000001,0.2516220400398738,0.006944547482096149
10.0,2.0,1,55.2,0.24728556606958058,0.006141696464325473
10.0,2.0,2,60.00000000000001,0.24492146868665135,0.006435214402816521
10.0,2.0,3,57.60000000000001,0.2567789577089337,0.0074168657616679986
10.0,2.0,4,57.60000000000001,0.2508063225408946,0.006544628122486837
10.0,2.0,5,60.00000000000001,0.2550693031807934,0.006847089027007527
10.0,4.0,1,57.60000000000001,0.2523029895427838,0.006618052132813187
10.0,4.0,2,61.2,0.23908642317973203,0.0058871649847365105
10.0,4.0,3,62.400000000000006,0.24386248624951581,0.005785898492822309
10.0,4.0,4,61.2,0.24175976629677365,0.006397723134108992
10.0,4.0,5,52.800000000000004,0.25730785579057386,0.006978247814343371
10.0,8.0,1,85.20000000000002,0.21282715979723074,0.004815964767375254
10.0,8.0,2,85.20000000000002,0.2163027595261079,0.005290097350569809
10.0,8.0,3,66.0,0.24102742218806408,0.006134337648330004
10.0,8.0,4,50.4,0.24760184214770087,0.006031649582680194
10.0,8.0,5,66.0,0.24230902054850187,0.006222074132664463
10.0,16.0,1,91.20000000000002,0.19925813923488997,0.0038639170315969
10.0,16.0,2,74.4,0.2248512622776536,0.005388397175691235
10.0,16.0,3,90.0,0.20868809347857092,0.004722353477536276
10.0,16.0,4,90.0,0.20738698162932356,0.004466034770153345
10.0,16.0,5,92.4,0.20795017320187908,0.0047712461271730905
10.0,1000.0,1,94.80000000000001,0.2005324123120622,0.00441033959303772
10.0,1000.0,2,100.8,0.19766943715479007,0.004389775196153859
10.0,1000.0,3,103.2,0.19600116632629297,0.004090046147293705
10.0,1000.0,4,96.00000000000001,0.20103772607648682,0.0046336044137740675
10.0,1000.0,5,99.60000000000001,0.20195013329081457,0.004467462566922135
20.0,0.0,1,68.4,0.33923573147464087,0.011147276580300276
20.0,0.0,2,69.60000000000001,0.3297334156200855,0.010146562128660932
20.0,0.0,3,56.400000000000006,0.33666344538411214,0.01031327138767562
20.0,0.0,4,66.0,0.34384704308466985,0.010815355427171202
20.0,0.0,5,85.20000000000002,0.33348057077593274,0.01090656855582275
20.0,1.0,1,58.80000000000001,0.3356852796851468,0.010041183331112851
20.0,1.0,2,60.00000000000001,0.3466854147177365,0.010750720800070796
20.0,1.0,3,60.00000000000001,0.3377864318379366,0.010122478228805867
20.0,1.0,4,58.80000000000001,0.3411801034454488,0.011030734687117094
20.0,1.0,5,66.0,0.3609806250759407,0.01221444431836415
20.0,2.0,1,54.0,0.3566459171109543,0.011264722254558103
20.0,2.0,2,54.0,0.338743977967091,0.01008856756620943
20.0,2.0,3,48.00000000000001,0.35380223497694874,0.010122525650075055
20.0,2.0,4,60.00000000000001,0.3375000970297929,0.009649270017381221
20.0,2.0,5,58.80000000000001,0.35557490104358086,0.010829742537803732
20.0,4.0,1,87.60000000000002,0.3204301268780826,0.01107927965355327
20.0,4.0,2,49.20000000000001,0.3369404467322516,0.009184549446261682
20.0,4.0,3,58.80000000000001,0.34057784993449336,0.010937431856923162
20.0,4.0,4,62.400000000000006,0.330064496361823,0.009852086731351298
20.0,4.0,5,60.00000000000001,0.3494130898883253,0.011005995220990694
20.0,8.0,1,79.2,0.3174494393685657,0.009325631096910206
20.0,8.0,2,78.0,0.3150949970828209,0.009119681536832245
20.0,8.0,3,76.80000000000001,0.3234167531055927,0.00980554496624647
20.0,8.0,4,61.2,0.33748433068304473,0.010966967791973316
20.0,8.0,5,62.400000000000006,0.32441916311472363,0.009641946665650011
20.0,16.0,1,61.2,0.3334083752002154,0.009863366571234957
20.0,16.0,2,80.4,0.32590979753154775,0.010592403775644577
20.0,16.0,3,80.4,0.31088263721807907,0.009693720669469004
20.0,16.0,4,86.4,0.31564259812308887,0.010356998979089227
20.0,16.0,5,70.80000000000001,0.3383367992092328,0.011500133867268381
20.0,1000.0,1,87.60000000000002,0.2917970898674211,0.008376678135520031
20.0,1000.0,2,84.0,0.3138708437221069,0.010287652340014735
20.0,1000.0,3,84.0,0.30870786762003344,0.009603047682543555
20.0,1000.0,4,86.4,0.2974733807217417,0.009345637974116923
20.0,1000.0,5,84.0,0.3038662129711833,0.00946356178884
30.0,0.0,1,60.00000000000001,0.45530413265845043,0.019664345944800644
30.0,0.0,2,64.80000000000001,0.4562397305008989,0.01854211565338782
30.0,0.0,3,56.400000000000006,0.44461964596401105,0.017199954515049767
30.0,0.0,4,80.4,0.43722176963018283,0.017213466637220034
30.0,0.0,5,61.2,0.44279589630804683,0.01723440305685016
30.0,1.0,1,60.00000000000001,0.4711959786376503,0.019494945486381463
30.0,1.0,2,54.0,0.4686911277978264,0.019278452325403133
30.0,1.0,3,67.2,0.4529881117869605,0.018566738268723963
30.0,1.0,4,64.80000000000001,0.4575281707166876,0.018502407911783047
30.0,1.0,5,52.800000000000004,0.4781945129756516,0.020218771953530366
30.0,2.0,1,51.6,0.48223533230305604,0.024336908767980524
30.0,2.0,2,55.2,0.4595452927477309,0.017683033979393293
30.0,2.0,3,55.2,0.44357512720955733,0.01738068551609169
30.0,2.0,4,57.60000000000001,0.4606626705139254,0.01862552856078267
30.0,2.0,5,48.00000000000001,0.467851039287419,0.018139814100164277
30.0,4.0,1,70.80000000000001,0.4358622295412928,0.01822263089838571
30.0,4.0,2,49.20000000000001,0.4700900965114106,0.019209881257579827
30.0,4.0,3,50.4,0.4544038939180369,0.018008077094227377
30.0,4.0,4,56.400000000000006,0.45376640363469917,0.018274573953905596
30.0,4.0,5,40.8,0.4767642911274864,0.018252632711534957
30.0,8.0,1,116.4,0.4119031923412144,0.01854170403884617
30.0,8.0,2,60.00000000000001,0.4544654746371922,0.019149374550338816
30.0,8.0,3,72.0,0.4421079284296438,0.019033906608543132
30.0,8.0,4,68.4,0.43554964210456987,0.018466567831015218
30.0,8.0,5,66.0,0.44545385728609316,0.01919584687939532
30.0,16.0,1,124.80000000000001,0.4123804730597073,0.017938940423900315
30.0,16.0,2,82.80000000000001,0.42618107970975877,0.017841435201316404
30.0,16.0,3,109.20000000000002,0.40606998576680237,0.017174743676089593
30.0,16.0,4,116.4,0.4123974438406677,0.018319508912569168
30.0,16.0,5,81.6,0.43535373159213936,0.01977934481652066
30.0,1000.0,1,118.80000000000001,0.39945134962468487,0.01655687795947197
30.0,1000.0,2,73.2,0.4084961402505864,0.016313236252710004
30.0,1000.0,3,152.40000000000003,0.41801672775744,0.02137178826614082
30.0,1000.0,4,74.4,0.41300417875454093,0.0161545917536894
30.0,1000.0,5,99.60000000000001,0.4173117913714753,0.018573021036940005
40.0,0.0,1,69.60000000000001,0.5714252229742038,0.032140076333778314
40.0,0.0,2,75.60000000000001,0.5507340163625996,0.029778235395131573
40.0,0.0,3,72.0,0.5544114107865966,0.029832703007482614
40.0,0.0,4,74.4,0.5636180451352035,0.030783870934914345
40.0,0.0,5,54.0,0.5607068542966249,0.027930056919425947
40.0,1.0,1,51.6,0.6161049939201222,0.03476430030077946
40.0,1.0,2,54.0,0.577326386688236,0.030126358942814874
40.0,1.0,3,64.80000000000001,0.566444538281645,0.02927763678942606
40.0,1.0,4,79.2,0.5867526541547385,0.03461522724098133
40.0,1.0,5,48.00000000000001,0.586520576621199,0.030076138567754828
40.0,2.0,1,51.6,0.5965678547437517,0.030548337104637616
40.0,2.0,2,56.400000000000006,0.5900599878150877,0.03157303883897085
40.0,2.0,3,52.800000000000004,0.5882791808899402,0.03173597328729911
40.0,2.0,4,55.2,0.5903823201325838,0.030758174723009988
40.0,2.0,5,56.400000000000006,0.6129700440343642,0.03679884748372504
40.0,4.0,1,48.00000000000001,0.5881169905613024,0.02900895293055031
40.0,4.0,2,48.00000000000001,0.5740279720788029,0.02763021943423921
40.0,4.0,3,49.20000000000001,0.5709191402230086,0.02964997907199591
40.0,4.0,4,51.6,0.5552796848591599,0.0260116682887944
40.0,4.0,5,44.400000000000006,0.5837059005167753,0.029488150851520404
40.0,8.0,1,73.2,0.5585113767943001,0.02926010957573704
40.0,8.0,2,51.6,0.5418321854102848,0.025497032285216603
40.0,8.0,3,104.4,0.5544998966152739,0.034991442050191605
40.0,8.0,4,52.800000000000004,0.545963376547197,0.025409452205611437
40.0,8.0,5,52.800000000000004,0.5607943084420716,0.028899726553633473
40.0,16.0,1,54.0,0.5606310540711462,0.02933472150027944
40.0,16.0,2,72.0,0.552207072566917,0.0303272975011365
40.0,16.0,3,55.2,0.5684373085178385,0.030042496985069365
40.0,16.0,4,56.400000000000006,0.5671244278033468,0.02955134467422242
40.0,16.0,5,61.2,0.5778667213653897,0.02985083791582814
40.0,1000.0,1,80.4,0.539411035106618,0.029597298161875892
40.0,1000.0,2,93.60000000000001,0.5293389457842113,0.029278245819731475
40.0,1000.0,3,146.4,0.5360905848516123,0.03616865602059085
40.0,1000.0,4,99.60000000000001,0.5502534525317794,0.033321163432591484
40.0,1000.0,5,81.6,0.5461854867997787,0.03307900504746876
50.0,0.0,1,73.2,0.6844375405584637,0.046757015379112435
50.0,0.0,2,57.60000000000001,0.6952823852088807,0.046633845840174715
50.0,0.0,3,62.400000000000006,0.7107916411189883,0.051002209801647484
50.0,0.0,4,54.0,0.7189853046335178,0.04919905493869993
50.0,0.0,5,62.400000000000006,0.721773733058383,0.05305085406899899
50.0,1.0,1,54.0,0.6787146576833165,0.04176273450724224
50.0,1.0,2,66.0,0.7009205308545682,0.048709170248751384
50.0,1.0,3,51.6,0.6861789187817326,0.043490132158924895
50.0,1.0,4,62.400000000000006,0.7111747392106293,0.04707727828349157
50.0,1.0,5,58.80000000000001,0.7167434628655441,0.04926770492200631
50.0,2.0,1,46.800000000000004,0.697019718709525,0.04354014406650867
50.0,2.0,2,46.800000000000004,0.6645080346787803,0.038997643022869885
50.0,2.0,3,60.00000000000001,0.7295946378476864,0.05204462311293158
50.0,2.0,4,54.0,0.7246923216958886,0.04840823062517424
50.0,2.0,5,44.400000000000006,0.7228626046918762,0.046827199398676356
50.0,4.0,1,45.60000000000001,0.6578269587539868,0.038941131798117756
50.0,4.0,2,45.60000000000001,0.7582595405922724,0.04887502356035114
50.0,4.0,3,76.80000000000001,0.7090806984879272,0.05384685499517406
50.0,4.0,4,46.800000000000004,0.7037595507361194,0.04325439045845432
50.0,4.0,5,40.8,0.729290091648401,0.04681120116224664
50.0,8.0,1,80.4,0.6696233298054217,0.04888512929409912
50.0,8.0,2,56.400000000000006,0.6722214342522435,0.041410122644612454
50.0,8.0,3,70.80000000000001,0.7089224212462066,0.04832574830589716
50.0,8.0,4,54.0,0.7154932012895029,0.049677684459621306
50.0,8.0,5,40.8,0.7278164609269335,0.04668634065535196
50.0,16.0,1,69.60000000000001,0.6660695863153149,0.04531323885179732
50.0,16.0,2,68.4,0.693033243951172,0.04732660446520449
